observedAt,linkId,platform,handle,canonicalUrl,audienceKind,audienceCount,audienceCountRaw,source
2026-05-31T08:09:14.185Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-01T08:56:07.245Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-02T08:37:30.736Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-03T08:44:09.610Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-04T08:33:24.542Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-05T08:27:11.907Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-06T08:02:58.104Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-07T08:17:07.577Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-08T08:39:52.866Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-09T08:18:43.790Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-10T08:28:06.505Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-11T08:43:03.961Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-11T12:03:35.869Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-12T08:40:54.036Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-13T08:20:17.883Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-13T17:11:48.751Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-14T08:33:56.429Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-15T09:14:44.996Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-16T09:05:59.913Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-17T08:54:20.073Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-18T08:43:06.581Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-19T08:57:03.564Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-20T08:19:33.071Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-21T08:41:06.641Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-22T09:12:05.950Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-23T08:22:11.983Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-24T08:19:09.620Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-25T08:18:22.048Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-26T08:23:16.753Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-27T08:07:51.948Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-28T08:18:10.823Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-29T08:48:47.940Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-06-30T08:22:08.484Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-01T08:34:37.266Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-02T08:13:19.973Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-03T08:12:33.652Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-04T08:07:59.457Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-05T08:10:57.191Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-06T08:40:45.469Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-07T08:16:50.441Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-08T07:57:40.713Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-09T08:19:40.937Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-10T08:17:53.850Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-11T07:43:10.886Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-12T07:53:23.669Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-13T08:13:39.566Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-14T07:44:05.188Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-15T07:46:10.936Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-16T07:51:02.145Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-17T07:49:24.517Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-18T07:42:22.645Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-19T07:52:54.682Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
2026-07-20T08:11:24.144Z,substack,substack,peterryszkiewicz,https://peter.ryszkiewicz.us/,subscribers,15,15 subscribers,public-cache
